cycle_no,avg_cycle_loss,precision,recall,f_score
1.0,2310.7359203926403,60.55276381909548,60.099750623441395,60.32540675844806
2.0,775.5847539523342,78.76543209876543,79.55112219451371,79.15632754342431
3.0,429.593993169707,81.63265306122449,79.80049875311721,80.7061790668348
4.0,323.3654542831703,80.90452261306532,80.29925187032418,80.60075093867334
5.0,261.11556707258796,82.32323232323232,81.29675810473816,81.80677540777917
6.0,235.18408867920067,80.19801980198021,80.79800498753117,80.49689440993788
7.0,220.98579220862788,80.0498753117207,80.0498753117207,80.0498753117207
8.0,196.52651527035152,79.15632754342433,79.55112219451371,79.35323383084578
9.0,174.84031903704712,79.35323383084577,79.55112219451371,79.45205479452055
10.0,164.45889433368984,79.0,78.80299251870323,78.90137328339574
