cycle_no,avg_cycle_loss,precision,recall,f_score
1.0,181.50351141020656,0.0,0.0,0.0
2.0,82.32177970458288,0.0,0.0,0.0
3.0,70.90110497753486,44.44444444444444,25.0,32.0
4.0,57.748908593954226,42.857142857142854,37.5,40.0
5.0,49.9951452592191,46.15384615384615,37.5,41.37931034482759
6.0,46.3564372883902,46.15384615384615,37.5,41.37931034482759
7.0,40.43488703186421,40.0,37.5,38.70967741935484
8.0,34.07862838809952,43.75,43.75,43.75
9.0,30.42237973854854,40.0,37.5,38.70967741935484
10.0,23.98093511093647,42.857142857142854,37.5,40.0
11.0,20.93542880404369,42.857142857142854,37.5,40.0
12.0,18.016402216572565,38.46153846153847,31.25,34.48275862068966
13.0,17.95995060609039,42.857142857142854,37.5,40.0
