id,location
15834-L1,Catedral de San Carlos Borromeo
15834-L2,Ciudad de la Habana
15834-L3,Villa de Guanabacoa
15834-L4,Ciudad de la Havana
15834-L5,Ciudad de la Haba na
15834-L6,Ciudad de Matansas
15834-L7,Ciudad y de
15834-L8,Villa [roto] [desvaído]
15834-L9,Villa de Madrid
15834-L10,Trinidad y de
15834-L11,villa de Guanabacoa
15834-L12,More nos
