id,type,principal,date,location id,cleric
15834-1033-1-E1,baptism,15834-P00003,/1719-02-23,15834-L1,15834-P04296
15834-1033-2-E1,baptism,15834-P00008,1719-02-23,15834-L1,15834-P04296
15834-1033-3-E1,baptism,15834-P00013,1719-02-01,15834-L1,15834-P04296
15834-1033-4-E1,baptism,15834-P00015,1719-04-09,15834-L1,15834-P04296
15834-1034-1-E1,baptism,15834-P00019,1719-04-09,15834-L1,15834-P04296
15834-1034-2-E1,baptism,15834-P00021,1719-04-09,15834-L1,15834-P04296
15834-1034-3-E1,baptism,15834-P00023,1719-04-09,15834-L1,15834-P04296
15834-1034-4-E1,baptism,15834-P00024,1719-04-09,15834-L1,15834-P04296
15834-1034-5-E1,baptism,15834-P00027,1719-04-09,15834-L1,
15834-1035-1-E1,baptism,15834-P00028,1719-04-09,15834-L1,15834-P04296
15834-1035-2-E1,baptism,15834-P00033,1719-04-09,15834-L1,15834-P04296
15834-1035-3-E1,baptism,15834-P00034,1719-04-11,15834-L1,15834-P04296
15834-1035-4-E1,baptism,15834-P00037,1719-06-04,15834-L1,15834-P04296
15834-1036-1-E1,baptism,15834-P00044,1719-06-24,15834-L1,15834-P04296
15834-1036-2-E1,baptism,15834-P00047,1719-07-02,15834-L1,15834-P04296
15834-1036-3-E1,baptism,15834-P00051,1719-07-02,15834-L1,15834-P04296
15834-1036-4-E1,baptism,15834-P00054,1719-07-30,15834-L1,15834-P04297
15834-1037-1-E1,baptism,15834-P00057,1719-07-30,15834-L1,15834-P00055
15834-1037-2-E1,baptism,15834-P00058,1719-07-02,15834-L1,15834-P00059
15834-1037-3-E1,baptism,15834-P00064,1719-07-30,15834-L1,15834-P04297
15834-1037-4-E1,baptism,15834-P00065,1719-07-30,15834-L1,15834-P04297
15834-1038-1-E1,baptism,15834-P00070,1719-08-01/1719-09-01,15834-L1,15834-P04297
15834-1038-2-E1,baptism,15834-P00073,1719-10-01,15834-L1,15834-P04297
15834-1038-3-E1,baptism,15834-P00077,1719-10-19,15834-L1,15834-P04296
15834-1038-3-E2,birth,15834-P00077,1719-10-14,,
15834-1038-4-E1,baptism,15834-P00078,1719-10-08,15834-L1,15834-P04297
15834-1039-1-E1,baptism,15834-P00089,1719-10-19/1719-12-17,15834-L1,15834-P04297
15834-1039-2-E1,baptism,15834-P00092,1719-11-26,15834-L1,15834-P04297
15834-1039-2-E2,birth,15834-P00092,1719-10-19/1719-11-19,,
15834-1039-3-E1,baptism,15834-P00093,1719-12-17,15834-L1,15834-P04297
15834-1039-4-E1,baptism,15834-P00098,1719-12-17,15834-L1,15834-P04297
15834-1040-1-E1,baptism,15834-P00102,1719-12-17/1720-01-07,15834-L1,
15834-1040-2-E1,baptism,15834-P00104,1719-12-24/1720-12-24,15834-L1,15834-P04297
15834-1040-3-E1,baptism,15834-P00105,1720-01-07,15834-L1,15834-P00110
15834-1040-3-E2,birth,15834-P00105,1719-12-30,,
15834-1040-4-E1,baptism,15834-P00116,1720-01-07,15834-L1,15834-P00115
15834-1040-4-E2,birth,15834-P00116,1719-12-31,,
15834-1041-1-E1,baptism,15834-P00118,1720-01-14,15834-L1,15834-P04297
15834-1041-2-E1,baptism,15834-P00123,1720-01-14,15834-L1,15834-P04296
15834-1041-3-E1,baptism,15834-P00127,1720-02-11,15834-L1,15834-P04297
15834-1041-3-E2,birth,15834-P00127,1720-01-28,,
15834-1041-4-E1,baptism,15834-P00128,1720-02-11,15834-L1,15834-P04297
15834-1041-4-E2,birth,15834-P00128,1720-01-28,,
15834-1042-1-E1,baptism,15834-P00133,1720-02-20/1720-03-20,15834-L1,15834-P04297
15834-1042-2-E1,baptism,15834-P00139,1720-03-26,15834-L1,15834-P04297
15834-1042-3-E1,baptism,15834-P00144,1720-04-11,15834-L1,15834-P04297
15834-1042-4-E1,baptism,15834-P00150,1720-04-28,15834-L1,15834-P04296
15834-1042-5-E1,baptism,15834-P00153,1720-06-02,15834-L1,15834-P04297
15834-1043-1-E1,baptism,15834-P00156,1720-06-02/1720-06-29,15834-L1,15834-P04297
15834-1043-2-E1,baptism,15834-P00157,1720-06-29,15834-L1,15834-P04297
15834-1043-3-E1,baptism,15834-P00163,1720-06-30,15834-L1,15834-P04297
15834-1043-4-E1,baptism,15834-P00164,1720-07-07,15834-L1,15834-P04297
15834-1044-1-E1,baptism,15834-P00168,1720-07-08,15834-L1,15834-P04297
15834-1044-1-E2,birth,15834-P00168,1720-06-23,,
15834-1044-2-E1,baptism,15834-P00179,1720-12-28,15834-L1,15834-P04296
15834-1044-3-E1,baptism,15834-P00181,1721-01-07,15834-L1,15834-P04296
15834-1044-3-E2,birth,15834-P00181,1721-01-01,,
15834-1044-4-E1,baptism,15834-P00190,1721-01-11,15834-L1,15834-P04296
15834-1044-5-E1,baptism,15834-P00195,1721-02-02,15834-L1,15834-P00194
15834-1045-1-E1,baptism,15834-P00198,1721-02-09,15834-L1,15834-P00197
15834-1045-1-E2,birth,15834-P00198,1721-02-02/1721-03-02,,
15834-1045-2-E1,baptism,15834-P00199,1721-03-02,15834-L1,15834-P00205
15834-1045-3-E1,baptism,15834-P00206,1721-03-19,15834-L1,15834-P04296
15834-1045-3-E2,birth,15834-P00206,1720-11-23,,
15834-1045-4-E1,baptism,15834-P00212,1721-06-02,15834-L1,15834-P04296
15834-1045-5-E1,baptism,15834-P00218,1721-06-08,15834-L1,15834-P04296
15834-1046-1-E1,baptism,15834-P00219,1721-06-20/1721-07-20,15834-L1,15834-P04296
15834-1046-2-E1,baptism,15834-P00227,1721-08-03,15834-L1,15834-P04296
15834-1046-3-E1,baptism,15834-P00233,1721-09-21,15834-L1,15834-P04298
