from id,to id,relationship type
15834-P00260,15834-P04296,enslaver
15834-P00262,15834-P00265,slave
15834-P00263,15834-P00265,godchild
15834-P00266,15834-P00269,slave
15834-P00267,15834-P00269,godchild
15834-P00267,15834-P00268,enslaver
15834-P00270,15834-P00275,godparent
15834-P00272,15834-P00274,enslaver
15834-P00273,15834-P00274,enslaver
15834-P00275,15834-P00276,enslaver
15834-P00277,15834-P00280,slave
15834-P00281,15834-P00284,slave
15834-P00282,15834-P00284,godchild
15834-P00283,15834-P00284,godchild
15834-P00285,15834-P04295,enslaver
15834-P00286,15834-P04295,enslaver
15834-P00287,15834-P00288,godchild
15834-P00290,15834-P00292,godchild
15834-P00290,15834-P00291,enslaver
15834-P00293,15834-P04295,enslaver
15834-P00294,15834-P04295,enslaver
15834-P00295,15834-P00297,godchild
15834-P00295,15834-P00296,enslaver
15834-P00298,15834-P00302,godparent
15834-P00300,15834-P04295,enslaver
15834-P00301,15834-P04295,enslaver
15834-P00303,15834-P04295,enslaver
15834-P00304,15834-P04295,enslaver
15834-P00306,15834-P00311,godparent
15834-P00308,15834-P00310,enslaver
15834-P00309,15834-P00310,enslaver
15834-P00313,15834-P00315,slave
15834-P00314,15834-P00315,godchild
15834-P00318,15834-P00321,godparent
15834-P00319,15834-P00320,enslaver
15834-P00321,15834-P00322,enslaver
15834-P00323,15834-P00325,godparent
15834-P00324,15834-P04295,enslaver
15834-P00325,15834-P00326,enslaver
15834-P00327,15834-P00331,godparent
15834-P00329,15834-P04295,enslaver
15834-P00330,15834-P04295,enslaver
15834-P00332,15834-P04295,enslaver
15834-P00333,15834-P04295,enslaver
15834-P00334,15834-P00336,slave
15834-P00334,15834-P00335,enslaver
15834-P00336,15834-P00336,godparent
15834-P00337,15834-P00338,enslaver
15834-P00339,15834-P00340,godchild
15834-P00340,15834-P04296,godparent
15834-P00341,15834-P00344,godparent
15834-P00342,15834-P00343,enslaver
15834-P00345,15834-P00348,godparent
15834-P00346,15834-P00347,enslaver
15834-P00349,15834-P00351,enslaver
15834-P00350,15834-P00351,enslaver
15834-P00354,15834-P00358,godparent
15834-P00361,15834-P00362,godchild
15834-P00364,15834-P00365,enslaver
15834-P00366,15834-P00371,godparent
15834-P00367,15834-P00368,enslaver
15834-P00372,15834-P00374,enslaver
15834-P00373,15834-P00374,enslaver
15834-P00375,15834-P00378,godchild
15834-P00375,15834-P00376,enslaver
15834-P00377,15834-P04295,enslaver
15834-P00379,15834-P00383,godparent
15834-P00381,15834-P04295,enslaver
15834-P00382,15834-P04295,enslaver
15834-P00384,15834-P00388,godparent
15834-P00387,15834-P00389,enslaver
15834-P00388,15834-P00389,enslaver
15834-P00390,15834-P00392,godchild
15834-P00390,15834-P00391,enslaver
15834-P00392,15834-P04299,enslaver
15834-P00394,15834-P00397,godparent
15834-P00394,15834-P00398,godparent
15834-P00395,15834-P00396,enslaver
15834-P00399,15834-P00401,godparent
15834-P00400,15834-P04299,enslaver
15834-P00402,15834-P00405,godparent
15834-P00412,15834-P04299,enslaver
15834-P00413,15834-P04299,enslaver
15834-P00414,15834-P00415,godchild
15834-P00416,15834-P00420,child
15834-P00416,15834-P00417,spouse
15834-P00416,15834-P00418,enslaver
15834-P00417,15834-P00420,child
15834-P00417,15834-P00418,enslaver
15834-P00419,15834-P00420,godchild
15834-P00421,15834-P00423,enslaver
15834-P00422,15834-P00423,enslaver
15834-P00424,15834-P00427,godchild
15834-P00424,15834-P00425,enslaver
15834-P00430,15834-P00432,enslaver
15834-P00431,15834-P00432,enslaver
15834-P00436,15834-P00437,godchild
15834-P00439,15834-P00440,godchild
15834-P00442,15834-P00443,godchild
15834-P00445,15834-P00446,godchild
15834-P00447,15834-P00450,godparent
15834-P00447,15834-P00451,godparent
15834-P00454,15834-P00455,godchild
15834-P00456,15834-P00461,godparent
15834-P00456,15834-P00458,parent
15834-P00456,15834-P00459,parent
15834-P00458,15834-P00459,spouse
15834-P00462,15834-P00463,godchild
15834-P00467,15834-P00468,godchild
15834-P00469,15834-P04299,enslaver
15834-P00470,15834-P00471,godchild
15834-P00472,15834-P00473,godchild
15834-P00477,15834-P00479,godchild
15834-P00480,15834-P00484,godparent
15834-P00480,15834-P00481,parent
15834-P00480,15834-P00482,parent
15834-P00481,15834-P00482,spouse
15834-P00485,15834-P00486,godchild
15834-P00488,15834-P00490,godchild
15834-P00491,15834-P00492,godchild
15834-P00493,15834-P00494,godchild
15834-P00496,15834-P00497,godchild
15834-P00499,15834-P00503,child
15834-P00504,15834-P04300,godparent
15834-P00504,15834-P04299,enslaver
15834-P00506,15834-P00507,godchild
15834-P00508,15834-P00513,godparent
15834-P00510,15834-P04299,enslaver
15834-P00511,15834-P04299,enslaver
15834-P00516,15834-P00518,godchild
15834-P00517,15834-P00518,godchild
15834-P00519,15834-P00523,child
15834-P00519,15834-P00520,spouse
15834-P00520,15834-P00523,child
15834-P00521,15834-P00523,godchild
15834-P00522,15834-P00523,godchild
15834-P00524,15834-P00528,godparent
15834-P00524,15834-P00529,godparent
15834-P00530,15834-P04299,enslaver
15834-P00531,15834-P04299,enslaver
15834-P00532,15834-P00533,godchild
15834-P00535,15834-P00537,child
15834-P00535,15834-P00536,spouse
15834-P00535,15834-P04299,enslaver
15834-P00536,15834-P00537,child
15834-P00536,15834-P04299,enslaver
15834-P00537,15834-P04300,godparent
15834-P00540,15834-P00541,godchild
15834-P00542,15834-P04299,enslaver
15834-P00543,15834-P04299,enslaver
15834-P00545,15834-P00546,godchild
15834-P00547,15834-P00550,godparent
15834-P00551,15834-P00554,godparent
15834-P00555,15834-P00558,godparent
15834-P00559,15834-P00562,godparent
15834-P00563,15834-P00567,godparent
15834-P00563,15834-P00564,parent
15834-P00563,15834-P00565,parent
15834-P00564,15834-P00565,spouse
15834-P00564,15834-P04295,enslaver
15834-P00565,15834-P04295,enslaver
15834-P00571,15834-P00572,godchild
15834-P00573,15834-P00574,godchild
15834-P00575,15834-P00576,enslaver
15834-P00577,15834-P00578,godchild
15834-P00579,15834-P00582,slave
15834-P00581,15834-P00582,godchild
15834-P00584,15834-P00586,slave
15834-P00587,15834-P00589,enslaver
15834-P00588,15834-P00589,enslaver
15834-P00590,15834-P00591,godchild
15834-P00592,15834-P00596,godparent
15834-P00594,15834-P04299,enslaver
15834-P00597,15834-P00602,godparent
15834-P00597,15834-P00603,godparent
15834-P00599,15834-P00600,enslaver
15834-P00605,15834-P00607,slave
15834-P00606,15834-P00607,godchild
15834-P00608,15834-P00609,godchild
15834-P00610,15834-P00614,godparent
15834-P00612,15834-P04299,enslaver
15834-P00613,15834-P04299,enslaver
15834-P00616,15834-P00621,godparent
15834-P00622,15834-P00626,godparent
15834-P00622,15834-P00623,parent
15834-P00622,15834-P00624,parent
15834-P00623,15834-P00624,spouse
15834-P00623,15834-P04299,enslaver
15834-P00624,15834-P04299,enslaver
15834-P00627,15834-P04299,enslaver
15834-P00628,15834-P04299,enslaver
15834-P00629,15834-P00630,godchild
15834-P00631,15834-P00635,godparent
15834-P00632,15834-P04299,enslaver
15834-P00633,15834-P04299,enslaver
15834-P00636,15834-P00640,godparent
15834-P00642,15834-P04299,enslaver
15834-P00643,15834-P04299,enslaver
15834-P00644,15834-P00645,godchild
15834-P00647,15834-P04299,enslaver
15834-P00648,15834-P04299,enslaver
15834-P00649,15834-P00650,godchild
15834-P00651,15834-P00653,enslaver
15834-P00652,15834-P00653,enslaver
15834-P00654,15834-P00655,godchild
15834-P00656,15834-P04299,enslaver
15834-P00657,15834-P04299,enslaver
15834-P00658,15834-P00659,godchild
15834-P00662,15834-P00663,enslaver
15834-P00666,15834-P00670,godparent
15834-P00676,15834-P00677,godchild
15834-P00680,15834-P00682,enslaver
15834-P00681,15834-P00682,enslaver
15834-P00684,15834-P00687,godparent
15834-P00685,15834-P00686,enslaver
15834-P00689,15834-P00691,godchild
15834-P00689,15834-P00690,enslaver
15834-P00693,15834-P00694,enslaver
15834-P00695,15834-P00696,godchild
15834-P00697,15834-P00703,godparent
15834-P00703,15834-P00704,enslaver
15834-P00711,15834-P00712,godparent
15834-P00714,15834-P00716,godchild
15834-P00719,15834-P04295,godparent
15834-P00724,15834-P00730,child
15834-P00724,15834-P00725,enslaver
15834-P00726,15834-P00727,enslaver
15834-P00728,15834-P00730,godchild
15834-P00731,15834-P00736,godparent
15834-P00734,15834-P00735,enslaver
15834-P00739,15834-P00741,enslaver
15834-P00740,15834-P00741,enslaver
15834-P00742,15834-P00745,godchild
15834-P00742,15834-P00743,enslaver
15834-P00748,15834-P00749,godchild
15834-P00752,15834-P00753,enslaver
15834-P00754,15834-P00755,godchild
15834-P00759,15834-P00760,godchild
15834-P00771,15834-P00775,godparent
15834-P00780,15834-P00781,godchild
15834-P00784,15834-P00785,slave
15834-P00785,15834-P00785,godparent
15834-P00786,15834-P00790,godparent
15834-P00788,15834-P00789,enslaver
15834-P00794,15834-P00798,godparent
15834-P00796,15834-P00797,enslaver
15834-P00798,15834-P00799,enslaver
15834-P00802,15834-P00805,godparent
15834-P00806,15834-P00808,godparent
15834-P00809,15834-P00813,godparent
15834-P00809,15834-P00814,godparent
15834-P00810,15834-P04299,enslaver
15834-P00811,15834-P04299,enslaver
15834-P00815,15834-P00819,godparent
15834-P00815,15834-P00816,parent
15834-P00815,15834-P00817,parent
15834-P00816,15834-P00817,spouse
15834-P00821,15834-P00824,godchild
15834-P00821,15834-P00822,enslaver
15834-P00825,15834-P00828,godparent
15834-P00828,15834-P00829,enslaver
15834-P00832,15834-P00835,slave
15834-P00833,15834-P00835,godchild
15834-P00838,15834-P00840,enslaver
15834-P00839,15834-P00842,godchild
15834-P00839,15834-P00840,enslaver
15834-P00844,15834-P00848,slave
15834-P00845,15834-P00848,godchild
15834-P00845,15834-P00846,enslaver
15834-P00850,15834-P00854,slave
15834-P00851,15834-P00854,godchild
15834-P00851,15834-P00852,enslaver
15834-P00856,15834-P00859,godchild
15834-P00856,15834-P00857,enslaver
15834-P00864,15834-P00870,godparent
15834-P00873,15834-P00874,godparent
15834-P00875,15834-P00876,godchild
15834-P00877,15834-P00878,godchild
15834-P00880,15834-P00881,godchild
15834-P00882,15834-P00883,godchild
15834-P00886,15834-P00887,godchild
15834-P00888,15834-P00889,godchild
15834-P00891,15834-P00892,godchild
15834-P00893,15834-P00894,godchild
15834-P00895,15834-P00896,godchild
15834-P00901,15834-P00902,godchild
15834-P00904,15834-P00905,godchild
15834-P00908,15834-P00910,godparent
15834-P00914,15834-P00915,godchild
15834-P00917,15834-P00918,enslaver
15834-P00924,15834-P00925,godchild
15834-P00929,15834-P00930,godchild
15834-P00933,15834-P00935,godchild
15834-P00938,15834-P00941,godchild
15834-P00943,15834-P00944,godchild
15834-P00946,15834-P00947,godchild
15834-P00949,15834-P00952,child
15834-P00951,15834-P00952,godchild
15834-P00953,15834-P00956,godparent
15834-P00958,15834-P00959,godchild
15834-P00961,15834-P00962,godchild
15834-P00966,15834-P00970,godparent
15834-P00974,15834-P00976,godchild
15834-P00977,15834-P00981,godparent
15834-P00982,15834-P00986,godparent
15834-P00983,15834-P00984,enslaver
15834-P00995,15834-P00996,godchild
15834-P00999,15834-P04299,enslaver
15834-P01000,15834-P01001,godchild
15834-P01003,15834-P01004,enslaver
15834-P01005,15834-P01006,godchild
15834-P01007,15834-P01009,godparent
15834-P01012,15834-P04299,enslaver
15834-P01013,15834-P04299,enslaver
15834-P01014,15834-P01015,godchild
15834-P01030,15834-P01032,godchild
15834-P01031,15834-P01032,godchild
15834-P01033,15834-P01035,godparent
15834-P01034,15834-P04299,enslaver
15834-P01035,15834-P01036,enslaver
15834-P01039,15834-P01041,godchild
15834-P01043,15834-P01044,godchild
15834-P01047,15834-P01048,godchild
15834-P01049,15834-P01052,godparent
15834-P01056,15834-P01058,godchild
15834-P01060,15834-P01061,enslaver
15834-P01062,15834-P01063,godchild
15834-P01064,15834-P01067,godparent
15834-P01086,15834-P01090,godparent
15834-P01088,15834-P01089,enslaver
15834-P01093,15834-P01096,godparent
15834-P01108,15834-P01109,enslaver
15834-P01111,15834-P01115,godparent
15834-P01119,15834-P01120,godparent
15834-P01123,15834-P01127,godparent
15834-P01129,15834-P01136,child
15834-P01129,15834-P01130,spouse
15834-P01129,15834-P04299,enslaver
15834-P01130,15834-P01136,child
15834-P01130,15834-P04299,enslaver
15834-P01133,15834-P01136,godchild
15834-P01138,15834-P04299,enslaver
15834-P01139,15834-P04299,enslaver
15834-P01140,15834-P01142,godchild
15834-P01145,15834-P01147,enslaver
15834-P01146,15834-P01147,enslaver
15834-P01149,15834-P01152,godchild
15834-P01157,15834-P04299,enslaver
15834-P01158,15834-P01159,godchild
15834-P01160,15834-P01166,godparent
15834-P01160,15834-P01164,parent
15834-P01167,15834-P01170,slave
15834-P01168,15834-P01170,godchild
15834-P01168,15834-P01169,enslaver
15834-P01176,15834-P01177,enslaver
15834-P01177,15834-P01178,enslaver
15834-P01181,15834-P04299,enslaver
15834-P01182,15834-P04299,enslaver
15834-P01185,15834-P01188,godchild
15834-P01185,15834-P01186,enslaver
15834-P01189,15834-P01195,godparent
15834-P01195,15834-P01196,enslaver
15834-P01200,15834-P01201,enslaver
15834-P01202,15834-P01203,enslaver
15834-P01206,15834-P01210,slave
15834-P01207,15834-P01210,godchild
15834-P01212,15834-P01214,enslaver
15834-P01213,15834-P01214,enslaver
15834-P01215,15834-P01217,godchild
15834-P01218,15834-P01221,godparent
15834-P01223,15834-P01224,godchild
15834-P01225,15834-P01228,godparent
15834-P01229,15834-P01230,enslaver
15834-P01231,15834-P01232,godchild
15834-P01233,15834-P01234,godchild
15834-P01237,15834-P01238,godchild
15834-P01240,15834-P04299,enslaver
15834-P01241,15834-P01242,godchild
15834-P01243,15834-P01247,godparent
15834-P01250,15834-P01252,godchild
15834-P01254,15834-P01256,godchild
15834-P01258,15834-P01259,enslaver
15834-P01260,15834-P01262,godchild
15834-P01261,15834-P01262,godchild
15834-P01264,15834-P01265,godchild
15834-P01266,15834-P01267,godchild
15834-P01268,15834-P01272,godparent
15834-P01274,15834-P01275,godchild
15834-P01276,15834-P01277,godchild
15834-P01278,15834-P01281,godparent
15834-P01282,15834-P01284,godparent
15834-P01286,15834-P01287,godchild
15834-P01288,15834-P01289,godchild
15834-P01291,15834-P01292,godchild
15834-P01294,15834-P04299,enslaver
15834-P01295,15834-P04299,enslaver
15834-P01296,15834-P01298,godchild
15834-P01299,15834-P01302,child
15834-P01300,15834-P01302,child
15834-P01301,15834-P01302,godchild
15834-P01304,15834-P01306,enslaver
15834-P01305,15834-P01306,enslaver
15834-P01307,15834-P01308,godchild
15834-P01312,15834-P04299,enslaver
15834-P01313,15834-P04299,enslaver
15834-P01317,15834-P01318,godchild
15834-P01319,15834-P01320,godchild
15834-P01320,15834-P04300,godparent
15834-P01328,15834-P01330,godchild
15834-P01333,15834-P01335,godchild
15834-P01336,15834-P01337,godchild
15834-P01338,15834-P01340,slave
15834-P01339,15834-P01340,godchild
15834-P01341,15834-P04299,enslaver
15834-P01342,15834-P04299,enslaver
15834-P01343,15834-P01344,godchild
15834-P01347,15834-P01349,godparent
15834-P01350,15834-P04299,enslaver
15834-P01351,15834-P04299,enslaver
15834-P01352,15834-P01353,godchild
15834-P01354,15834-P01355,enslaver
15834-P01356,15834-P01357,godchild
15834-P01359,15834-P01362,child
15834-P01359,15834-P01360,spouse
15834-P01360,15834-P01362,child
15834-P01361,15834-P01362,godchild
15834-P01365,15834-P04299,enslaver
15834-P01366,15834-P04299,enslaver
15834-P01367,15834-P01368,godchild
15834-P01372,15834-P01373,godchild
15834-P01374,15834-P01376,enslaver
15834-P01375,15834-P01376,enslaver
15834-P01377,15834-P01378,godchild
15834-P01380,15834-P01381,enslaver
15834-P01382,15834-P01383,godchild
15834-P01385,15834-P01386,enslaver
15834-P01387,15834-P01388,enslaver
15834-P01389,15834-P01390,godchild
15834-P01391,15834-P01396,godparent
15834-P01393,15834-P04299,enslaver
15834-P01394,15834-P04299,enslaver
15834-P01399,15834-P04299,enslaver
15834-P01400,15834-P04299,enslaver
15834-P01401,15834-P01404,godchild
15834-P01402,15834-P01404,godchild
15834-P01405,15834-P01407,godparent
15834-P01406,15834-P04299,enslaver
15834-P01410,15834-P01411,enslaver
15834-P01412,15834-P01415,godchild
15834-P01413,15834-P01415,godchild
15834-P01416,15834-P01419,godparent
15834-P01422,15834-P01425,godchild
15834-P01428,15834-P01430,godchild
15834-P01432,15834-P01434,godchild
15834-P01436,15834-P01438,godchild
15834-P01440,15834-P01442,godchild
15834-P01444,15834-P01446,godchild
15834-P01448,15834-P01449,enslaver
15834-P01450,15834-P01451,enslaver
15834-P01452,15834-P01453,godchild
15834-P01454,15834-P01455,godchild
15834-P01454,15834-P04299,enslaver
15834-P01456,15834-P01458,godparent
15834-P01458,15834-P04299,enslaver
15834-P01461,15834-P01462,godchild
15834-P01464,15834-P01466,child
15834-P01465,15834-P01466,godchild
15834-P01469,15834-P04299,enslaver
15834-P01470,15834-P04299,enslaver
15834-P01471,15834-P01472,godchild
15834-P01473,15834-P01475,godparent
15834-P01476,15834-P01478,enslaver
15834-P01477,15834-P01478,enslaver
15834-P01479,15834-P01480,godchild
15834-P01483,15834-P01484,godchild
15834-P01485,15834-P04299,enslaver
15834-P01486,15834-P04299,enslaver
15834-P01487,15834-P01489,godchild
15834-P01488,15834-P01489,godchild
15834-P01490,15834-P01491,godchild
15834-P01492,15834-P01493,godchild
15834-P01494,15834-P01495,enslaver
15834-P01496,15834-P01497,godchild
15834-P01499,15834-P01500,godchild
15834-P01501,15834-P01504,child
15834-P01501,15834-P01502,spouse
15834-P01501,15834-P04299,enslaver
15834-P01502,15834-P01504,child
15834-P01502,15834-P04299,enslaver
15834-P01503,15834-P01504,godchild
15834-P01508,15834-P01510,godchild
15834-P01510,15834-P04299,enslaver
15834-P01512,15834-P01513,enslaver
15834-P01514,15834-P01515,godchild
15834-P01518,15834-P01522,child
15834-P01518,15834-P01519,spouse
15834-P01518,15834-P04299,enslaver
15834-P01519,15834-P01522,child
15834-P01519,15834-P04299,enslaver
15834-P01520,15834-P01522,godchild
15834-P01524,15834-P01529,child
15834-P01524,15834-P01525,spouse
15834-P01524,15834-P01526,enslaver
15834-P01525,15834-P01529,child
15834-P01525,15834-P01526,enslaver
15834-P01527,15834-P01529,godchild
15834-P01530,15834-P01536,godparent
15834-P01530,15834-P01532,parent
15834-P01530,15834-P01533,parent
15834-P01532,15834-P01533,spouse
15834-P01532,15834-P01534,enslaver
15834-P01533,15834-P01534,enslaver
15834-P01539,15834-P01541,enslaver
15834-P01540,15834-P01541,enslaver
15834-P01542,15834-P01544,godchild
15834-P01545,15834-P01550,godparent
15834-P01548,15834-P04299,enslaver
15834-P01549,15834-P04299,enslaver
15834-P01554,15834-P01556,godchild
15834-P01555,15834-P01556,godchild
15834-P01559,15834-P01560,godchild
15834-P01565,15834-P01567,godchild
15834-P01568,15834-P04299,enslaver
15834-P01569,15834-P04299,enslaver
15834-P01570,15834-P01571,godchild
15834-P01572,15834-P04299,enslaver
15834-P01573,15834-P04299,enslaver
15834-P01579,15834-P01583,child
15834-P01582,15834-P01583,godchild
15834-P01587,15834-P01591,child
15834-P01587,15834-P01588,spouse
15834-P01587,15834-P04299,enslaver
15834-P01588,15834-P01591,child
15834-P01588,15834-P04299,enslaver
15834-P01589,15834-P01591,godchild
15834-P01597,15834-P01599,enslaver
15834-P01598,15834-P01599,enslaver
15834-P01600,15834-P01601,godchild
15834-P01602,15834-P01603,godchild
15834-P01604,15834-P01605,godchild
15834-P01607,15834-P01608,godchild
15834-P01611,15834-P01613,enslaver
15834-P01612,15834-P01613,enslaver
15834-P01614,15834-P01615,godchild
15834-P01616,15834-P01621,godparent
15834-P01617,15834-P01619,enslaver
15834-P01618,15834-P01619,enslaver
15834-P01623,15834-P01624,godchild
15834-P01626,15834-P01627,godchild
15834-P01628,15834-P04299,enslaver
15834-P01629,15834-P04299,enslaver
15834-P01630,15834-P01631,godchild
15834-P01632,15834-P01635,godparent
15834-P01638,15834-P01639,godchild
15834-P01638,15834-P04299,enslaver
15834-P01639,15834-P04299,enslaver
15834-P01640,15834-P01641,godchild
15834-P01642,15834-P04299,enslaver
15834-P01643,15834-P01644,godchild
15834-P01646,15834-P01652,godparent
15834-P01649,15834-P01650,enslaver
15834-P01655,15834-P01656,godchild
15834-P01658,15834-P01659,enslaver
15834-P01662,15834-P04299,enslaver
15834-P01663,15834-P04299,enslaver
15834-P01664,15834-P01665,godchild
15834-P01670,15834-P01671,godchild
15834-P01673,15834-P04299,enslaver
15834-P01674,15834-P01675,godchild
15834-P01676,15834-P01677,godchild
15834-P01679,15834-P01680,godchild
15834-P01681,15834-P01682,godchild
15834-P01683,15834-P01684,godchild
15834-P01687,15834-P01691,godparent
15834-P01688,15834-P01689,enslaver
15834-P01692,15834-P01697,godparent
15834-P01698,15834-P04299,enslaver
15834-P01699,15834-P01700,godchild
15834-P01714,15834-P01715,godchild
15834-P01716,15834-P01717,godchild
15834-P01719,15834-P01720,enslaver
15834-P01721,15834-P01723,godchild
15834-P01724,15834-P01726,enslaver
15834-P01725,15834-P01726,enslaver
15834-P01727,15834-P01728,godchild
15834-P01729,15834-P01730,godchild
15834-P01732,15834-P01733,godchild
15834-P01734,15834-P04301,enslaver
15834-P01735,15834-P01736,enslaver
15834-P01739,15834-P04299,enslaver
15834-P01740,15834-P04299,enslaver
15834-P01741,15834-P01742,godchild
15834-P01743,15834-P01744,godchild
15834-P01745,15834-P04299,enslaver
15834-P01746,15834-P04299,enslaver
15834-P01749,15834-P01750,godchild
15834-P01758,15834-P01760,enslaver
15834-P01759,15834-P01760,enslaver
15834-P01762,15834-P01763,godchild
15834-P01764,15834-P01768,godparent
15834-P01765,15834-P04299,enslaver
15834-P01766,15834-P04299,enslaver
15834-P01771,15834-P01772,godchild
15834-P01773,15834-P01774,godchild
15834-P01777,15834-P01780,godchild
15834-P01778,15834-P01780,godchild
15834-P01781,15834-P01782,enslaver
15834-P01783,15834-P01784,godchild
15834-P01787,15834-P01789,enslaver
15834-P01788,15834-P01789,enslaver
15834-P01790,15834-P01791,godchild
15834-P01792,15834-P01793,enslaver
15834-P01797,15834-P04299,enslaver
15834-P01798,15834-P04299,enslaver
15834-P01799,15834-P01800,godchild
15834-P01801,15834-P01803,slave
15834-P01802,15834-P01803,godchild
15834-P01806,15834-P01808,enslaver
15834-P01807,15834-P01808,enslaver
15834-P01809,15834-P01811,godchild
15834-P01810,15834-P01811,godchild
15834-P01813,15834-P01814,enslaver
15834-P01815,15834-P01816,godchild
15834-P01822,15834-P01823,godchild
15834-P01828,15834-P01829,godchild
15834-P01830,15834-P01832,godparent
15834-P01833,15834-P01836,godparent
15834-P01838,15834-P01839,godchild
15834-P01841,15834-P04299,enslaver
