from id,to id,relationship type
15834-P00001,15834-P00003,godchild
15834-P00002,15834-P00003,godchild
15834-P00003,15834-P04295,enslaver
15834-P00004,15834-P00006,enslaver
15834-P00005,15834-P00006,enslaver
15834-P00007,15834-P00008,godchild
15834-P00009,15834-P00011,enslaver
15834-P00010,15834-P00011,enslaver
15834-P00012,15834-P00013,godchild
15834-P00014,15834-P00015,godchild
15834-P00015,15834-P04295,enslaver
15834-P00017,15834-P00019,slave
15834-P00018,15834-P00019,godchild
15834-P00020,15834-P00021,godchild
15834-P00021,15834-P04295,enslaver
15834-P00022,15834-P00023,godchild
15834-P00023,15834-P04295,enslaver
15834-P00024,15834-P00026,godparent
15834-P00025,15834-P04295,enslaver
15834-P00028,15834-P00030,godparent
15834-P00031,15834-P00033,godchild
15834-P00032,15834-P00033,godchild
15834-P00033,15834-P04295,enslaver
15834-P00034,15834-P00036,godparent
15834-P00035,15834-P04295,enslaver
15834-P00037,15834-P00041,godparent
15834-P00041,15834-P00042,enslaver
15834-P00043,15834-P00044,godchild
15834-P00046,15834-P00047,slave
15834-P00047,15834-P04296,godparent
15834-P00049,15834-P00051,slave
15834-P00051,15834-P04296,godparent
15834-P00052,15834-P00054,slave
15834-P00053,15834-P00054,godchild
15834-P00056,15834-P00057,slave
15834-P00060,15834-P00061,enslaver
15834-P00063,15834-P00064,godchild
15834-P00064,15834-P04295,enslaver
15834-P00065,15834-P00067,godparent
15834-P00066,15834-P04295,enslaver
15834-P00069,15834-P00070,godchild
15834-P00070,15834-P04295,enslaver
15834-P00071,15834-P00073,slave
15834-P00072,15834-P00073,godchild
15834-P00076,15834-P00077,godchild
15834-P00078,15834-P00081,godparent
15834-P00079,15834-P00080,enslaver
15834-P00081,15834-P00082,enslaver
15834-P00084,15834-P00086,enslaver
15834-P00085,15834-P00086,enslaver
15834-P00087,15834-P00089,godchild
15834-P00087,15834-P00088,enslaver
15834-P00090,15834-P04295,enslaver
15834-P00093,15834-P00096,godparent
15834-P00094,15834-P00095,enslaver
15834-P00096,15834-P00097,enslaver
15834-P00099,15834-P04295,enslaver
15834-P00100,15834-P00101,enslaver
15834-P00103,15834-P00104,godchild
15834-P00104,15834-P04295,enslaver
15834-P00105,15834-P00109,godparent
15834-P00107,15834-P04295,enslaver
15834-P00108,15834-P04295,enslaver
15834-P00112,15834-P00114,enslaver
15834-P00113,15834-P00114,enslaver
15834-P00116,15834-P04296,godparent
15834-P00117,15834-P00118,godchild
15834-P00118,15834-P04295,enslaver
15834-P00119,15834-P00121,enslaver
15834-P00120,15834-P00121,enslaver
15834-P00124,15834-P04295,enslaver
15834-P00125,15834-P00126,enslaver
15834-P00128,15834-P00131,godparent
15834-P00128,15834-P00132,godparent
15834-P00131,15834-P04295,enslaver
15834-P00132,15834-P04295,enslaver
15834-P00133,15834-P00137,godparent
15834-P00135,15834-P00136,enslaver
15834-P00137,15834-P00138,enslaver
15834-P00139,15834-P00142,godparent
15834-P00140,15834-P00141,enslaver
15834-P00142,15834-P00143,enslaver
15834-P00146,15834-P00147,enslaver
15834-P00149,15834-P00150,godchild
15834-P00150,15834-P04295,enslaver
15834-P00151,15834-P00153,godchild
15834-P00151,15834-P00152,enslaver
15834-P00153,15834-P04295,enslaver
15834-P00155,15834-P00156,slave
15834-P00156,15834-P00156,godparent
15834-P00156,15834-P04297,enslaver
15834-P00157,15834-P00160,godparent
15834-P00158,15834-P00159,enslaver
15834-P00164,15834-P00167,godparent
15834-P00165,15834-P00166,enslaver
15834-P00168,15834-P00172,godparent
15834-P00168,15834-P00173,godparent
15834-P00170,15834-P00171,enslaver
15834-P00172,15834-P00174,enslaver
15834-P00173,15834-P00174,enslaver
15834-P00175,15834-P00179,godchild
15834-P00176,15834-P00179,godchild
15834-P00176,15834-P00178,enslaver
15834-P00177,15834-P00178,enslaver
15834-P00179,15834-P04295,enslaver
15834-P00181,15834-P00185,godparent
15834-P00193,15834-P00195,godchild
15834-P00198,15834-P00198,godparent
15834-P00198,15834-P04295,enslaver
15834-P00202,15834-P00203,enslaver
15834-P00206,15834-P00210,godparent
15834-P00211,15834-P00212,godchild
15834-P00212,15834-P04295,enslaver
15834-P00214,15834-P00216,enslaver
15834-P00215,15834-P00216,enslaver
15834-P00217,15834-P00218,godchild
15834-P00219,15834-P00223,godparent
15834-P00222,15834-P04296,enslaver
15834-P00226,15834-P00227,godchild
15834-P00226,15834-P04295,enslaver
15834-P00232,15834-P00233,godchild
15834-P00234,15834-P00236,enslaver
15834-P00235,15834-P00236,enslaver
15834-P00239,15834-P00240,enslaver
15834-P00241,15834-P00245,godchild
15834-P00241,15834-P00242,enslaver
15834-P00246,15834-P00250,godparent
15834-P00246,15834-P00248,parent
15834-P00246,15834-P00249,parent
15834-P00248,15834-P00249,spouse
15834-P00251,15834-P00253,slave
15834-P00252,15834-P00253,godchild
15834-P00254,15834-P00256,slave
15834-P00255,15834-P00256,godchild
15834-P00258,15834-P00261,godparent
