id,type,principal,date,location id,cleric
166470-1009-1-E1,baptism,166470-P00216,1830-10-20,166470-L1,166470-P00721
166470-1009-1-E2,birth,166470-P00216,1830-10-20,,
166470-1009-2-E1,baptism,166470-P00218,1830-10-20,166470-L1,166470-P00715
166470-1009-3-E1,baptism,166470-P00221,1830-10-20,166470-L1,166470-P00715
166470-1009-4-E1,baptism,166470-P00223,1830-10-20,166470-L1,166470-P00715
166470-1009-5-E1,baptism,166470-P00226,1830-10-20,166470-L1,166470-P00721
166470-1009-6-E1,baptism,166470-P00227,1830-11-01,166470-L1,166470-P00715
166470-1009-6-E2,birth,166470-P00227,1830-09-13,,
166470-1010-1-E1,baptism,166470-P00236,1830-11-03,166470-L1,166470-P00715
166470-1010-1-E2,birth,166470-P00236,1830-11-03,,
166470-1010-2-E1,baptism,166470-P00243,1830-11-03,166470-L1,166470-P00715
166470-1010-3-E1,baptism,166470-P00245,1830-11-03,166470-L1,166470-P00715
166470-1010-4-E1,baptism,166470-P00246,1830-11-03,166470-L1,166470-P00715
166470-1010-5-E1,baptism,166470-P00247,1830-11-03,166470-L1,166470-P00715
166470-1010-6-E1,baptism,166470-P00248,1830-11-03,166470-L1,166470-P00715
166470-1010-7-E1,baptism,166470-P00250,1830-11-03,166470-L1,166470-P00715
166470-1011-1-E1,baptism,166470-P00258,1830-11-05,166470-L1,166470-P00715
166470-1011-2-E1,baptism,166470-P00268,1830-11-10,166470-L1,166470-P00715
166470-1011-3-E1,baptism,166470-P00271,1830-11-10,166470-L1,166470-P00715
166470-1011-4-E1,baptism,166470-P00274,1830-11-10,166470-L1,166470-P00715
166470-1011-5-E1,baptism,166470-P00279,1830-11-10,166470-L1,166470-P00715
166470-1011-5-E2,birth,166470-P00279,1830-10-01/1830-11-01,,
166470-1011-6-E1,baptism,166470-P00283,1830-11-12,166470-L1,166470-P00715
166470-1011-6-E2,birth,166470-P00283,1830-09-07,,
166470-1012-1-E1,baptism,166470-P00285,1830-11-10,166470-L1,166470-P00715
