from id,to id,relationship type
166470-P00237,166470-P00238,enslaver
166470-P00242,166470-P00243,godchild
166470-P00243,166470-P00724,enslaver
166470-P00244,166470-P00245,godchild
166470-P00245,166470-P00714,enslaver
166470-P00246,166470-P00715,godparent
166470-P00246,166470-P00716,enslaver
166470-P00247,166470-P00715,godparent
166470-P00247,166470-P00716,enslaver
166470-P00248,166470-P00249,godparent
166470-P00248,166470-P00716,enslaver
166470-P00250,166470-P00256,godparent
166470-P00253,166470-P00719,slave
166470-P00258,166470-P00262,grandparent
166470-P00258,166470-P00263,grandparent
166470-P00258,166470-P00264,grandparent
166470-P00258,166470-P00266,godparent
166470-P00258,166470-P00267,godparent
166470-P00258,166470-P00259,parent
166470-P00258,166470-P00260,parent
166470-P00259,166470-P00263,parent
166470-P00259,166470-P00262,parent
166470-P00260,166470-P00264,parent
166470-P00262,166470-P00263,spouse
166470-P00268,166470-P00269,godparent
166470-P00268,166470-P00724,enslaver
166470-P00270,166470-P00271,godchild
166470-P00272,166470-P00274,godchild
166470-P00273,166470-P00274,godchild
166470-P00274,166470-P00716,enslaver
166470-P00277,166470-P00279,godchild
166470-P00278,166470-P00279,godchild
166470-P00281,166470-P00283,slave
166470-P00283,166470-P00283,godparent
166470-P00283,166470-P00715,godparent
166470-P00284,166470-P00285,godchild
166470-P00285,166470-P00716,enslaver
166470-P00286,166470-P00290,godchild
166470-P00287,166470-P00290,godchild
166470-P00290,166470-P00716,enslaver
166470-P00291,166470-P00295,grandparent
166470-P00291,166470-P00297,godparent
166470-P00291,166470-P00292,parent
166470-P00291,166470-P00293,parent
166470-P00292,166470-P00295,parent
166470-P00298,166470-P00300,godparent
166470-P00298,166470-P00720,enslaver
166470-P00304,166470-P00305,godchild
166470-P00307,166470-P00309,godchild
166470-P00310,166470-P00313,godparent
166470-P00310,166470-P00311,parent
166470-P00314,166470-P00318,godparent
166470-P00314,166470-P00315,parent
166470-P00315,166470-P00316,enslaver
166470-P00319,166470-P00323,grandparent
166470-P00319,166470-P00324,grandparent
166470-P00319,166470-P00325,grandparent
166470-P00319,166470-P00326,grandparent
166470-P00319,166470-P00328,godparent
166470-P00319,166470-P00329,godparent
166470-P00319,166470-P00321,parent
166470-P00319,166470-P00322,parent
166470-P00321,166470-P00322,spouse
166470-P00321,166470-P00324,parent
166470-P00321,166470-P00323,parent
166470-P00322,166470-P00326,parent
166470-P00322,166470-P00325,parent
166470-P00323,166470-P00324,spouse
166470-P00325,166470-P00326,spouse
166470-P00331,166470-P00339,child
166470-P00331,166470-P00334,parent
166470-P00331,166470-P00333,parent
166470-P00331,166470-P00336,parent
166470-P00331,166470-P00335,parent
166470-P00333,166470-P00339,grandchild
166470-P00333,166470-P00334,spouse
166470-P00334,166470-P00339,grandchild
166470-P00335,166470-P00339,grandchild
166470-P00335,166470-P00336,spouse
166470-P00336,166470-P00339,grandchild
166470-P00337,166470-P00339,godchild
166470-P00338,166470-P00339,godchild
166470-P00340,166470-P00345,godparent
166470-P00340,166470-P00717,godparent
166470-P00340,166470-P00342,parent
166470-P00340,166470-P00343,parent
166470-P00346,166470-P00350,godparent
166470-P00354,166470-P00356,enslaver
166470-P00355,166470-P00356,enslaver
166470-P00359,166470-P00365,godparent
166470-P00359,166470-P00360,parent
166470-P00359,166470-P00361,parent
166470-P00360,166470-P00361,spouse
166470-P00360,166470-P00362,enslaver
166470-P00361,166470-P00362,enslaver
166470-P00366,166470-P00370,grandparent
166470-P00366,166470-P00371,grandparent
166470-P00366,166470-P00373,grandparent
166470-P00366,166470-P00372,grandparent
166470-P00366,166470-P00375,godparent
166470-P00366,166470-P00376,godparent
166470-P00366,166470-P00368,parent
166470-P00366,166470-P00369,parent
166470-P00368,166470-P00369,spouse
166470-P00368,166470-P00371,parent
166470-P00368,166470-P00370,parent
166470-P00369,166470-P00372,parent
166470-P00369,166470-P00373,parent
166470-P00370,166470-P00371,spouse
166470-P00372,166470-P00373,spouse
166470-P00377,166470-P00380,godparent
166470-P00383,166470-P00726,godparent
166470-P00385,166470-P00726,godparent
166470-P00388,166470-P00726,godparent
166470-P00388,166470-P00725,enslaver
166470-P00389,166470-P00395,child
166470-P00389,166470-P00390,enslaver
166470-P00392,166470-P00395,godchild
166470-P00392,166470-P00394,enslaver
166470-P00393,166470-P00395,godchild
166470-P00393,166470-P00394,enslaver
166470-P00396,166470-P00400,godparent
166470-P00398,166470-P00399,enslaver
166470-P00401,166470-P00728,godparent
166470-P00401,166470-P00727,enslaver
166470-P00402,166470-P00728,godparent
166470-P00402,166470-P00727,enslaver
166470-P00403,166470-P00728,godparent
166470-P00403,166470-P00727,enslaver
166470-P00404,166470-P00728,godparent
166470-P00404,166470-P00727,enslaver
166470-P00405,166470-P00728,godparent
166470-P00405,166470-P00727,enslaver
166470-P00406,166470-P00728,godparent
166470-P00406,166470-P00727,enslaver
166470-P00407,166470-P00728,godparent
166470-P00407,166470-P00727,enslaver
166470-P00408,166470-P00728,godparent
166470-P00408,166470-P00727,enslaver
166470-P00409,166470-P00728,godparent
166470-P00409,166470-P00727,enslaver
166470-P00410,166470-P00411,godchild
166470-P00411,166470-P00727,enslaver
166470-P00412,166470-P00421,child
166470-P00413,166470-P00421,child
166470-P00418,166470-P00421,godchild
166470-P00419,166470-P00421,godchild
166470-P00422,166470-P00427,godparent
166470-P00422,166470-P00428,godparent
166470-P00422,166470-P00423,parent
166470-P00424,166470-P00425,enslaver
166470-P00425,166470-P00719,slave
166470-P00430,166470-P00437,godparent
166470-P00430,166470-P00438,godparent
166470-P00430,166470-P00431,parent
166470-P00430,166470-P00432,parent
166470-P00431,166470-P00432,spouse
166470-P00439,166470-P00445,child
166470-P00440,166470-P00445,child
166470-P00443,166470-P00445,godchild
166470-P00444,166470-P00445,godchild
166470-P00446,166470-P00450,godparent
166470-P00446,166470-P00451,godparent
166470-P00446,166470-P00447,parent
166470-P00447,166470-P00448,enslaver
166470-P00452,166470-P00456,godparent
166470-P00452,166470-P00453,parent
166470-P00453,166470-P00454,enslaver
166470-P00458,166470-P00461,slave
166470-P00459,166470-P00461,godchild
166470-P00459,166470-P00460,enslaver
166470-P00464,166470-P00466,godchild
166470-P00465,166470-P00466,godchild
166470-P00467,166470-P00473,godparent
166470-P00467,166470-P00474,godparent
166470-P00475,166470-P00481,godparent
166470-P00475,166470-P00482,godparent
166470-P00475,166470-P00477,parent
166470-P00483,166470-P00487,godparent
166470-P00483,166470-P00488,godparent
166470-P00483,166470-P00484,parent
166470-P00484,166470-P00485,enslaver
166470-P00489,166470-P00499,godparent
166470-P00489,166470-P00500,godparent
166470-P00489,166470-P00491,parent
166470-P00501,166470-P00503,slave
166470-P00502,166470-P00503,godchild
166470-P00504,166470-P00508,godparent
166470-P00504,166470-P00509,godparent
166470-P00505,166470-P00506,enslaver
166470-P00509,166470-P00510,enslaver
166470-P00511,166470-P00516,child
166470-P00511,166470-P00512,spouse
166470-P00512,166470-P00516,child
166470-P00514,166470-P00516,godchild
166470-P00515,166470-P00516,godchild
166470-P00517,166470-P00526,godparent
166470-P00517,166470-P00527,godparent
166470-P00517,166470-P00519,parent
166470-P00517,166470-P00520,parent
166470-P00519,166470-P00520,spouse
166470-P00528,166470-P00532,godparent
166470-P00536,166470-P00538,godchild
166470-P00537,166470-P00538,godchild
166470-P00543,166470-P00544,enslaver
166470-P00547,166470-P00548,godchild
166470-P00550,166470-P00559,godparent
166470-P00550,166470-P00560,godparent
166470-P00550,166470-P00552,parent
166470-P00550,166470-P00553,parent
166470-P00561,166470-P00562,enslaver
166470-P00563,166470-P00564,godchild
166470-P00565,166470-P00570,child
166470-P00565,166470-P00566,spouse
166470-P00566,166470-P00570,child
166470-P00568,166470-P00570,godchild
166470-P00569,166470-P00570,godchild
166470-P00571,166470-P00578,child
166470-P00571,166470-P00572,spouse
166470-P00572,166470-P00578,child
166470-P00576,166470-P00578,godchild
166470-P00577,166470-P00578,godchild
166470-P00579,166470-P00580,enslaver
166470-P00581,166470-P00582,godparent
166470-P00581,166470-P00583,godparent
166470-P00584,166470-P00591,child
166470-P00585,166470-P00591,child
166470-P00589,166470-P00591,godchild
166470-P00590,166470-P00591,godchild
166470-P00594,166470-P00595,godchild
166470-P00596,166470-P00600,godparent
166470-P00601,166470-P00602,enslaver
166470-P00603,166470-P00605,godchild
166470-P00604,166470-P00605,godchild
166470-P00607,166470-P00615,child
166470-P00608,166470-P00615,child
166470-P00614,166470-P00615,godchild
166470-P00615,166470-P00615,godparent
166470-P00616,166470-P00628,godparent
166470-P00616,166470-P00629,godparent
166470-P00616,166470-P00618,parent
166470-P00631,166470-P00632,enslaver
166470-P00633,166470-P00634,godchild
166470-P00637,166470-P00638,slave
166470-P00641,166470-P00642,godchild
166470-P00643,166470-P00651,godparent
166470-P00643,166470-P00652,godparent
166470-P00643,166470-P00644,parent
166470-P00653,166470-P00714,enslaver
166470-P00654,166470-P00655,godchild
166470-P00658,166470-P00660,godchild
166470-P00659,166470-P00660,godchild
166470-P00661,166470-P00671,godparent
166470-P00661,166470-P00672,godparent
166470-P00661,166470-P00662,parent
166470-P00661,166470-P00663,parent
166470-P00662,166470-P00663,spouse
166470-P00673,166470-P00681,godparent
166470-P00673,166470-P00674,parent
166470-P00673,166470-P00675,parent
166470-P00674,166470-P00675,spouse
166470-P00682,166470-P00686,child
166470-P00682,166470-P00683,enslaver
166470-P00684,166470-P00686,godchild
166470-P00685,166470-P00686,godchild
166470-P00688,166470-P00696,child
166470-P00689,166470-P00696,child
166470-P00694,166470-P00696,godchild
166470-P00695,166470-P00696,godchild
166470-P00697,166470-P00701,child
166470-P00697,166470-P00698,enslaver
166470-P00699,166470-P00701,godchild
166470-P00699,166470-P00700,enslaver
166470-P00703,166470-P00715,godparent
166470-P00704,166470-P00706,slave
166470-P00705,166470-P00706,godchild
166470-P00707,166470-P00708,slave
166470-P00709,166470-P00712,child
166470-P00710,166470-P00712,slave
166470-P00711,166470-P00712,godchild
