cycle_no,avg_cycle_loss,precision,recall,f_score
1.0,3869.7669415390205,6.666666666666667,0.22675736961451248,0.43859649122807015
2.0,1537.1885864603626,59.541984732824424,53.06122448979592,56.11510791366906
3.0,1155.7116454146299,75.34246575342466,74.82993197278913,75.08532423208192
4.0,664.2194347379069,84.75750577367207,83.21995464852607,83.98169336384439
5.0,425.12867966276553,87.93503480278422,85.94104308390023,86.92660550458714
6.0,291.1990027950406,89.58333333333334,87.75510204081633,88.65979381443299
7.0,232.36776344577999,90.86651053864169,87.98185941043084,89.40092165898618
8.0,183.43914955569144,90.32258064516128,88.88888888888889,89.6
9.0,143.7513478387378,89.34240362811792,89.34240362811792,89.34240362811792
10.0,125.26890156718639,90.99307159353349,89.34240362811792,90.16018306636155
11.0,108.5774362447858,89.97722095671982,89.56916099773242,89.77272727272727
12.0,95.83047016954177,90.0,89.79591836734694,89.89784335981838
13.0,86.76466596985689,88.28828828828829,88.88888888888889,88.58757062146894
14.0,82.91234707134812,89.83833718244803,88.20861678004536,89.01601830663616
15.0,62.117161880988036,89.72602739726028,89.1156462585034,89.419795221843
